pdb_id,split
1aju,train
1akx,train
1arj,train
1eht,train
1f27,train
1fmn,train
1fyp,train
1i2y,train
1j8g,train
1kod,train
1lvj,train
1o15,train
1q8n,train
1raw,train
1uts,train
1uui,train
1xpf,train
1ykv,train
1yrj,train
1zz5,train
2a04,train
2au4,train
2cky,train
2et3,train
2g5k,train
2gis,train
2hol,train
2hom,train
2hoo,train
2hop,train
2juk,train
2kgp,train
2ktz,train
2ku0,train
2kx8,train
2l1v,train
2l94,train
2lwk,train
2m4q,train
2mxs,train
2n0j,train
2o3v,train
2o3y,train
2oe5,train
2oe8,train
2qwy,train
2ydh,train
2ygh,train
3b4b,train
3b4c,train
3d2g,train
3d2v,train
3d2x,train
3ds7,train
3e5c,train
3e5e,train
3e5f,train
3fo4,train
3fo6,train
3fu2,train
3gca,train
3ger,train
3ges,train
3gog,train
3gx2,train
3gx3,train
3gx5,train
3gx6,train
3gx7,train
3iqn,train
3iqr,train
3k0j,train
3k1v,train
3mij,train
3npn,train
3npq,train
3q3z,train
3q50,train
3rkf,train
3sd3,train
3tzr,train
3v7e,train
4aob,train
4b5r,train
4e8k,train
4e8m,train
4e8n,train
4e8p,train
4e8q,train
4e8r,train
4e8t,train
4e8v,train
4f8u,train
4faq,train
4far,train
4fau,train
4fax,train
4fb0,train
4jf2,train
4k31,train
4kqy,train
4l81,train
4lvv,train
4lvx,train
4lvy,train
4lx5,train
4lx6,train
4oqu,train
4qlm,train
4qln,train
4qvi,train
4rzd,train
4w90,train
4w92,train
4xw7,train
4xwf,train
4zc7,train
4znp,train
5btp,train
5d5l,train
5fjc,train
5fk1,train
5fk2,train
5fk3,train
5fk4,train
5fk5,train
5fk6,train
5fkd,train
5fke,train
5fkf,train
5fkg,train
5fkh,train
5kpy,train
5ob3,train
5t83,train
5v1l,train
5v3f,train
5vcf,train
5vci,train
5vj9,train
5z1h,train
5z1i,train
5z71,train
6c63,train
6c64,train
6c65,train
6ck4,train
6ck5,train
6db8,train
6e1s,train
6e1u,train
6e1v,train
6e1w,train
6e8t,train
6e8u,train
6g7z,train
6gyv,train
6gzk,train
6gzr,train
6hag,train
6jbf,train
6jbg,train
6jji,train
6n5k,train
6n5n,train
6n5o,train
6n5p,train
6n5q,train
6n5t,train
6od9,train
6p2h,train
6pq7,train
6q57,train
6qiv,train
6t3k,train
6t3n,train
6t3r,train
6t3s,train
6tb7,train
6tf1,train
6tf2,train
6tf3,train
6tfe,train
6tff,train
6tfg,train
6u8f,train
6uc7,train
6uc8,train
6uc9,train
6up0,train
6v9b,train
6v9d,train
6va2,train
6va3,train
6vui,train
6wtl,train
6wzr,train
6wzs,train
6xb7,train
6xkn,train
6xko,train
7a3y,train
7d12,train
7d7v,train
7d7w,train
7d7x,train
7d7y,train
7d7z,train
7d81,train
7d82,train
7dwh,train
7e9e,train
7e9i,train
7eaf,train
7elp,train
7eog,train
7eoi,train
7eok,train
7eol,train
7eom,train
7eon,train
7eoo,train
7eop,train
7fhi,train
7kvt,train
7kvu,train
7kvv,train
7l0z,train
7mkt,train
7rwr,train
7szu,train
7td7,train
7tzt,train
7tzu,train
7u0y,train
7wib,train
7wif,train
7wii,train
7zj4,train
8d28,train
8d2a,train
8d2b,train
8d5l,train
8d5o,train
8f4o,train
8fza,train
8g4w,train
8g7e,train
8g8z,train
8gxb,train
8gxc,train
8hb8,train
8hba,train
8i43,train
8i45,train
8u5k,train
8u5p,train
8u5t,train
8u5z,train
8u60,train
8uiw,train
8uta,train
2yie,validation
3egz,validation
3f4e,validation
3f4g,validation
3f4h,validation
3irw,validation
3iwn,validation
3mum,validation
3mur,validation
3mut,validation
3muv,validation
3mxh,validation
4faw,validation
4gpw,validation
4gpx,validation
4nfo,validation
4pdq,validation
4y1i,validation
4y1j,validation
4y1m,validation
4yaz,validation
4yb1,validation
5c45,validation
5kx9,validation
5xi1,validation
6az4,validation
6bfb,validation
6cb3,validation
6cc1,validation
6cc3,validation
6dn1,validation
6dn2,validation
6dn3,validation
6las,validation
6lau,validation
6lax,validation
6laz,validation
6uet,validation
6va4,validation
6xrq,validation
7fj0,validation
8eyu,validation
8eyv,validation
8eyw,validation
8f0n,validation
8i44,validation
1ei2,test
1j7t,test
1koc,test
1lc4,test
1mwl,test
1nta,test
1ntb,test
1uud,test
2be0,test
2bee,test
2esi,test
2esj,test
2et4,test
2et8,test
2f4s,test
2f4t,test
2f4u,test
2kxm,test
2miy,test
2o3w,test
2o3x,test
2pwt,test
3s4p,test
3wru,test
4f8v,test
4gpy,test
4k32,test
4p20,test
5bjp,test
5xz1,test
6e81,test
6e82,test
6e84,test
7edl,test
7edm,test
7oa3,test
7oav,test
7oaw,test
7oax,test
7yc8,test
7ycg,test
7ych,test
7yci,test
8i46,test
8i7n,test
